Signal_name,Connector_pin,FPGA_pin,Connector_name
Shutdown_Sense_Sel0,4,R19,JB2
~DAC_CS+0,5,N17,JB2
~DAC_CS-0,7,P18,JB2
ADC_MOSI-0,6,P16,JB2
ADC_MOSI+0,8,P15,JB2
ADC_MISO+0,11,T17,JB2
ADC_MISO-0,13,R18,JB2
DAC_MISO-0,12,R17,JB2
DAC_MISO+0,14,R16,JB2
~ADC_CS+0,17,V17,JB2
~ADC_CS-0,19,V18,JB2
DAC_MOSI-0,18,W19,JB2
DAC_MOSI+0,20,W18,JB2
~SCKI+,23,T20,JB2
~SCKI-,25,U20,JB2
LDAC-,24,W16,JB2
LDAC+,26,V16,JB2
ADC_MOSI+3,29,V20,JB2
ADC_MOSI-3,31,W20,JB2
~ADC_CS-3,30,Y19,JB2
~ADC_CS+3,32,Y18,JB2
SCKO+0,35,N20,JB2
SCKO-0,37,P20,JB2
Trigger_In,36,P19,JB2
10Mhz_In,38,N18,JB2
Shutdown_Sense_Sel1,4,T19,JB1
DAC_MOSI+1,5,T11,JB1
DAC_MOSI-1,7,T10,JB1
~ADC_CS-1,6,U12,JB1
~ADC_CS+1,8,T12,JB1
DAC_MISO+1,11,P14,JB1
DAC_MISO-1,13,R14,JB1
ADC_MISO-1,12,W13,JB1
ADC_MISO+1,14,V12,JB1
ADC_MOSI+1,17,U13,JB1
ADC_MOSI-1,19,V13,JB1
~DAC_CS-1,18,T15,JB1
~DAC_CS+1,20,T14,JB1
DAC_MOSI+3,23,T16,JB1
DAC_MOSI-3,25,U17,JB1
ADC_MISO-3,24,Y17,JB1
ADC_MISO+3,26,Y16,JB1
DAC_MISO+3,29,W14,JB1
DAC_MISO-3,31,Y14,JB1
~DAC_CS-3,30,W15,JB1
~DAC_CS+3,32,V15,JB1
SCKO+3,35,U14,JB1
SCKO-3,37,U15,JB1
SCKO-1,36,U19,JB1
SCKO+1,38,U18,JB1
Shutdown_Sense_Sel2,4,V5,JC1
ADC_MOSI+4,5,U7,JC1
ADC_MOSI-4,7,V7,JC1
SCKO-2,6,U10,JC1
SCKO+2,8,T9,JC1
DAC_MOSI+2,11,T5,JC1
DAC_MOSI-2,13,U5,JC1
ADC_MISO-2,12,Y13,JC1
ADC_MISO+2,14,Y12,JC1
DAC_MISO+2,17,V11,JC1
DAC_MISO-2,19,V10,JC1
~DAC_CS-2,18,W6,JC1
~DAC_CS+2,20,V6,JC1
ADC_MOSI+2,23,V8,JC1
ADC_MOSI-2,25,W8,JC1
~ADC_CS-4,24,Y11,JC1
~ADC_CS+4,26,W11,JC1
~ADC_CS+2,29,U9,JC1
~ADC_CS-2,31,U8,JC1
ADC_MISO-4,30,W9,JC1
ADC_MISO+4,32,W10,JC1
SCKO+4,35,Y9,JC1
SCKO-4,37,Y8,JC1
DAC_MISO-4,36,Y6,JC1
DAC_MISO+4,38,Y7,JC1
Shutdown_Sense,4,J15,JA2
~ADC_CS+6,5,L14,JA2
~ADC_CS-6,7,L15,JA2
DAC_MOSI-4,6,J16,JA2
DAC_MOSI+4,8,K16,JA2
~DAC_CS+4,11,M14,JA2
~DAC_CS-4,13,M15,JA2
ADC_MOSI-6,12,G15,JA2
ADC_MOSI+6,14,H15,JA2
~ADC_CS+7,17,N15,JA2
~ADC_CS-7,19,N16,JA2
DAC_MISO-6,18,J14,JA2
DAC_MISO+6,20,K14,JA2
~DAC_CS+6,23,L19,JA2
~DAC_CS-6,25,L20,JA2
DAC_MOSI-6,24,J19,JA2
DAC_MOSI+6,26,K19,JA2
ADC_MISO+6,29,M17,JA2
ADC_MISO-6,31,M18,JA2
ADC_MOSI-7,30,M20,JA2
ADC_MOSI+7,32,M19,JA2
SCKO+7,35,L16,JA2
SCKO-7,37,L17,JA2
SCKO-6,36,K18,JA2
SCKO+6,38,K17,JA2
~Shutdown_Reset,4,G14,JA1
DAC_MOSI+5,5,E18,JA1
DAC_MOSI-5,7,E19,JA1
~ADC_CS-5,6,D20,JA1
~ADC_CS+5,8,D19,JA1
DAC_MISO+5,11,F16,JA1
DAC_MISO-5,13,F17,JA1
ADC_MISO-5,12,B20,JA1
ADC_MISO+5,14,C20,JA1
ADC_MOSI+5,17,E17,JA1
ADC_MOSI-5,19,D18,JA1
~DAC_CS-5,18,A20,JA1
~DAC_CS+5,20,B19,JA1
Shutdown_Force,23,F19,JA1
Shutdown_Button,25,F20,JA1
DAC_MOSI-7,24,G20,JA1
DAC_MOSI+7,26,G19,JA1
~DAC_CS+7,29,J20,JA1
~DAC_CS-7,31,H20,JA1
DAC_MISO-7,30,G18,JA1
DAC_MISO+7,32,G17,JA1
ADC_MISO+7,35,J18,JA1
ADC_MISO-7,37,H18,JA1
SCKO+5,36,H17,JA1
SCKO-5,38,H16,JA1
